Name,Year,Indicator,Percent,id
Argentina,2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.159603653,32
Argentina,2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.29168485,32
Argentina,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.84589953,32
Argentina,2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",30.47605445,32
Argentina,2014,Happiness score,0,32
Argentina,2015,Happiness score,1.156072634,32
Argentina,2016,Happiness score,0.380287433,32
Argentina,2017,Happiness score,-2.829325732,32
Argentina,2018,Happiness score,-7.418618714,32
Armenia,2014,Business extent of disclosure index (0=less disclosure to 10=more disclosure),0,51
Armenia,2015,Business extent of disclosure index (0=less disclosure to 10=more disclosure),0,51
Armenia,2016,Business extent of disclosure index (0=less disclosure to 10=more disclosure),0,51
Armenia,2017,Business extent of disclosure index (0=less disclosure to 10=more disclosure),0,51
Armenia,2018,Business extent of disclosure index (0=less disclosure to 10=more disclosure),20,51
Armenia,2014,Time to prepare and pay taxes (hours),0,51
Armenia,2015,Time to prepare and pay taxes (hours),0,51
Armenia,2016,Time to prepare and pay taxes (hours),0,51
Armenia,2017,Time to prepare and pay taxes (hours),0,51
Armenia,2018,Time to prepare and pay taxes (hours),-15.65495208,51
Armenia,2014,Happiness score,0,51
Armenia,2015,Happiness score,0.229890324,51
Armenia,2016,Happiness score,0.597701689,51
Armenia,2017,Happiness score,-0.675859137,51
Armenia,2018,Happiness score,4.813797278,51
Australia,2014,Other taxes payable by businesses (% of commercial profits),0,36
Australia,2015,Other taxes payable by businesses (% of commercial profits),0,36
Australia,2016,Other taxes payable by businesses (% of commercial profits),0,36
Australia,2017,Other taxes payable by businesses (% of commercial profits),0,36
Australia,2018,Other taxes payable by businesses (% of commercial profits),-25,36
Australia,2014,"GDP per capita, PPP (current international $)",0,36
Australia,2015,"GDP per capita, PPP (current international $)",-1.301238027,36
Australia,2016,"GDP per capita, PPP (current international $)",1.00658859,36
Australia,2017,"GDP per capita, PPP (current international $)",5.916130924,36
Australia,2018,"GDP per capita, PPP (current international $)",10.07154666,36
Australia,2014,Happiness score,0,36
Australia,2015,Happiness score,0.398136774,36
Australia,2016,Happiness score,0,36
Australia,2017,Happiness score,-0.163371063,36
Australia,2018,Happiness score,-0.768805004,36
Austria,2014,Merchandise exports (current US$),0,40
Austria,2015,Merchandise exports (current US$),-14.30511213,40
Austria,2016,Merchandise exports (current US$),-14.66309062,40
Austria,2017,Merchandise exports (current US$),-5.721483759,40
Austria,2018,Merchandise exports (current US$),3.646555158,40
Austria,2014,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",0,40
Austria,2015,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",3.054559256,40
Austria,2016,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",9.778470581,40
Austria,2017,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",-4.33296869,40
Austria,2018,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",-10.4127985,40
Austria,2014,Happiness score,0,40
Austria,2015,Happiness score,-1.124997964,40
Austria,2016,Happiness score,-2.694441284,40
Austria,2017,Happiness score,-0.841663966,40
Austria,2018,Happiness score,0.638888959,40
Azerbaijan,2014,Domestic credit to private sector (% of GDP),0,31
Azerbaijan,2015,Domestic credit to private sector (% of GDP),25.72845356,31
Azerbaijan,2016,Domestic credit to private sector (% of GDP),7.281242184,31
Azerbaijan,2017,Domestic credit to private sector (% of GDP),-27.86870676,31
Azerbaijan,2018,Domestic credit to private sector (% of GDP),-31.96949,31
Azerbaijan,2014,Employment in industry (% of total employment) (modeled ILO estimate),0,31
Azerbaijan,2015,Employment in industry (% of total employment) (modeled ILO estimate),-1.68519144,31
Azerbaijan,2016,Employment in industry (% of total employment) (modeled ILO estimate),0.202785001,31
Azerbaijan,2017,Employment in industry (% of total employment) (modeled ILO estimate),0.482485462,31
Azerbaijan,2018,Employment in industry (% of total employment) (modeled ILO estimate),0.734217877,31
Azerbaijan,2014,Happiness score,0,31
Azerbaijan,2015,Happiness score,1.515732882,31
Azerbaijan,2016,Happiness score,0.42210885,31
Azerbaijan,2017,Happiness score,-0.218721147,31
Azerbaijan,2018,Happiness score,-0.082504175,31
Bahrain,2014,"GNI per capita, Atlas method (current US$)",0,48
Bahrain,2015,"GNI per capita, Atlas method (current US$)",7.853403141,48
Bahrain,2016,"GNI per capita, Atlas method (current US$)",1.761066159,48
Bahrain,2017,"GNI per capita, Atlas method (current US$)",0.809138505,48
Bahrain,2018,"GNI per capita, Atlas method (current US$)",4.188481675,48
Bahrain,2014,Refugee population by country or territory of asylum,0,48
Bahrain,2015,Refugee population by country or territory of asylum,-20.57877814,48
Bahrain,2016,Refugee population by country or territory of asylum,-12.86173633,48
Bahrain,2017,Refugee population by country or territory of asylum,-18.00643087,48
Bahrain,2018,Refugee population by country or territory of asylum,-15.4340836,48
Bahrain,2014,Happiness score,0,48
Bahrain,2015,Happiness score,4.328857305,48
Bahrain,2016,Happiness score,2.130870037,48
Bahrain,2017,Happiness score,2.434565701,48
Bahrain,2018,Happiness score,4.016776987,48
Bangladesh,2014,Employment in agriculture (% of total employment) (modeled ILO estimate),0,50
Bangladesh,2015,Employment in agriculture (% of total employment) (modeled ILO estimate),-1.932670262,50
Bangladesh,2016,Employment in agriculture (% of total employment) (modeled ILO estimate),-3.673430015,50
Bangladesh,2017,Employment in agriculture (% of total employment) (modeled ILO estimate),-8.34029535,50
Bangladesh,2018,Employment in agriculture (% of total employment) (modeled ILO estimate),-9.349526554,50
Bangladesh,2014,Mobile cellular subscriptions,0,50
Bangladesh,2015,Mobile cellular subscriptions,3.554640144,50
Bangladesh,2016,Mobile cellular subscriptions,7.185336072,50
Bangladesh,2017,Mobile cellular subscriptions,18.97978318,50
Bangladesh,2018,Mobile cellular subscriptions,23.74400107,50
Bangladesh,2014,Happiness score,0,50
Bangladesh,2015,Happiness score,-1.086485811,50
Bangladesh,2016,Happiness score,-1.832125478,50
Bangladesh,2017,Happiness score,-4.124407979,50
Bangladesh,2018,Happiness score,-5.074557364,50
Belarus,2014,Number of neonatal deaths,0,112
Belarus,2015,Number of neonatal deaths,-5.025125628,112
Belarus,2016,Number of neonatal deaths,-12.06030151,112
Belarus,2017,Number of neonatal deaths,-20.10050251,112
Belarus,2018,Number of neonatal deaths,-27.13567839,112
Belarus,2014,Merchandise trade (% of GDP),0,112
Belarus,2015,Merchandise trade (% of GDP),3.605698991,112
Belarus,2016,Merchandise trade (% of GDP),10.07040801,112
Belarus,2017,Merchandise trade (% of GDP),19.11852673,112
Belarus,2018,Merchandise trade (% of GDP),24.12265288,112
Belarus,2014,Happiness score,0,112
Belarus,2015,Happiness score,-0.189233718,112
Belarus,2016,Happiness score,-4.197495723,112
Belarus,2017,Happiness score,-5.671769855,112
Belarus,2018,Happiness score,-8.437983077,112
Belgium,2014,Merchandise trade (% of GDP),0,56
Belgium,2015,Merchandise trade (% of GDP),-2.882972387,56
Belgium,2016,Merchandise trade (% of GDP),-5.085750798,56
Belgium,2017,Merchandise trade (% of GDP),-2.755923087,56
Belgium,2018,Merchandise trade (% of GDP),-1.156145869,56
Belgium,2014,"Foreign direct investment, net inflows (% of GDP)",0,56
Belgium,2015,"Foreign direct investment, net inflows (% of GDP)",18.05034385,56
Belgium,2016,"Foreign direct investment, net inflows (% of GDP)",-309.9448005,56
Belgium,2017,"Foreign direct investment, net inflows (% of GDP)",76.95310812,56
Belgium,2018,"Foreign direct investment, net inflows (% of GDP)",167.163281,56
Belgium,2014,Happiness score,0,56
Belgium,2015,Happiness score,-0.115322146,56
Belgium,2016,Happiness score,-0.663110929,56
Belgium,2017,Happiness score,-0.145594467,56
Belgium,2018,Happiness score,-0.201815473,56
Benin,2014,"GNI per capita, PPP (current international $)",0,204
Benin,2015,"GNI per capita, PPP (current international $)",0.476190476,204
Benin,2016,"GNI per capita, PPP (current international $)",2.857142857,204
Benin,2017,"GNI per capita, PPP (current international $)",7.619047619,204
Benin,2018,"GNI per capita, PPP (current international $)",14.28571429,204
Benin,2014,Number of infant deaths,0,204
Benin,2015,Number of infant deaths,-0.167304015,204
Benin,2016,Number of infant deaths,-0.418260038,204
Benin,2017,Number of infant deaths,-0.717017208,204
Benin,2018,Number of infant deaths,-1.342415551,204
Benin,2014,Happiness score,0,204
Benin,2015,Happiness score,4.311378955,204
Benin,2016,Happiness score,9.491022719,204
Benin,2017,Happiness score,23.99401098,204
Benin,2018,Happiness score,46.20360162,204
Bhutan,2014,Procedures to build a warehouse (number),0,64
Bhutan,2015,Procedures to build a warehouse (number),0,64
Bhutan,2016,Procedures to build a warehouse (number),-4.545454545,64
Bhutan,2017,Procedures to build a warehouse (number),-4.545454545,64
Bhutan,2018,Procedures to build a warehouse (number),-4.545454545,64
Bhutan,2014,Land area (sq. km),0,64
Bhutan,2015,Land area (sq. km),0,64
Bhutan,2016,Land area (sq. km),0.070833256,64
Bhutan,2017,Land area (sq. km),0.070833256,64
Bhutan,2018,Land area (sq. km),0.070833256,64
Bhutan,2014,Happiness score,0,64
Bhutan,2015,Happiness score,-1.085088249,64
Bhutan,2016,Happiness score,-4.606884374,64
Bhutan,2017,Happiness score,-3.253376644,64
Bhutan,2018,Happiness score,-3.253376644,64
Bolivia,2014,Export volume index (2000 = 100),0,68
Bolivia,2015,Export volume index (2000 = 100),-7.648181987,68
Bolivia,2016,Export volume index (2000 = 100),-9.152190611,68
Bolivia,2017,Export volume index (2000 = 100),-14.80460763,68
Bolivia,2018,Export volume index (2000 = 100),-13.4941536,68
Bolivia,2014,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",0,68
Bolivia,2015,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",3.521839315,68
Bolivia,2016,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",2.672940212,68
Bolivia,2017,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",6.906459376,68
Bolivia,2018,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",6.295395232,68
Bolivia,2014,Happiness score,0,68
Bolivia,2015,Happiness score,-1.154496457,68
Bolivia,2016,Happiness score,-1.137519759,68
Bolivia,2017,Happiness score,-2.34464641,68
Bolivia,2018,Happiness score,-1.879450868,68
Bosnia and Herzegovina,2014,Fixed broadband subscriptions (per 100 people),0,70
Bosnia and Herzegovina,2015,Fixed broadband subscriptions (per 100 people),18.86932815,70
Bosnia and Herzegovina,2016,Fixed broadband subscriptions (per 100 people),25.59201068,70
Bosnia and Herzegovina,2017,Fixed broadband subscriptions (per 100 people),27.17064907,70
Bosnia and Herzegovina,2018,Fixed broadband subscriptions (per 100 people),33.95139582,70
Bosnia and Herzegovina,2014,Fixed telephone subscriptions (per 100 people),0,70
Bosnia and Herzegovina,2015,Fixed telephone subscriptions (per 100 people),-7.446793734,70
Bosnia and Herzegovina,2016,Fixed telephone subscriptions (per 100 people),-9.628246373,70
Bosnia and Herzegovina,2017,Fixed telephone subscriptions (per 100 people),-6.932326844,70
Bosnia and Herzegovina,2018,Fixed telephone subscriptions (per 100 people),-19.36318147,70
Bosnia and Herzegovina,2014,Happiness score,0,70
Bosnia and Herzegovina,2015,Happiness score,4.324110531,70
Bosnia and Herzegovina,2016,Happiness score,4.708027562,70
Bosnia and Herzegovina,2017,Happiness score,3.645178804,70
Bosnia and Herzegovina,2018,Happiness score,8.840169942,70
Botswana,2014,Rural population,0,72
Botswana,2015,Rural population,-0.83907164,72
Botswana,2016,Rural population,-1.397124037,72
Botswana,2017,Rural population,-1.742205417,72
Botswana,2018,Rural population,-1.952756309,72
Botswana,2014,Urban population growth (annual %),0,72
Botswana,2015,Urban population growth (annual %),9.790098242,72
Botswana,2016,Urban population growth (annual %),21.17968037,72
Botswana,2017,Urban population growth (annual %),29.63788007,72
Botswana,2018,Urban population growth (annual %),33.07410125,72
Botswana,2014,Happiness score,0,72
Botswana,2015,Happiness score,-8.264077099,72
Botswana,2016,Happiness score,-13.06555344,72
Botswana,2017,Happiness score,-17.1329625,72
Botswana,2018,Happiness score,-19.4736805,72
Brazil,2014,Fixed telephone subscriptions (per 100 people),0,76
Brazil,2015,Fixed telephone subscriptions (per 100 people),-1.848928529,76
Brazil,2016,Fixed telephone subscriptions (per 100 people),-6.383269062,76
Brazil,2017,Fixed telephone subscriptions (per 100 people),-10.73072892,76
Brazil,2018,Fixed telephone subscriptions (per 100 people),-15.9699682,76
Brazil,2014,"Claims on central government, etc. (% GDP)",0,76
Brazil,2015,"Claims on central government, etc. (% GDP)",5.402646471,76
Brazil,2016,"Claims on central government, etc. (% GDP)",43.07853617,76
Brazil,2017,"Claims on central government, etc. (% GDP)",67.23152916,76
Brazil,2018,"Claims on central government, etc. (% GDP)",75.44248646,76
Brazil,2014,Happiness score,0,76
Brazil,2015,Happiness score,-0.443930422,76
Brazil,2016,Happiness score,-4.983525457,76
Brazil,2017,Happiness score,-8.078187093,76
Brazil,2018,Happiness score,-9.783759157,76
Bulgaria,2014,"GNI, PPP (current international $)",0,100
Bulgaria,2015,"GNI, PPP (current international $)",1.87050639,100
Bulgaria,2016,"GNI, PPP (current international $)",10.4027146,100
Bulgaria,2017,"GNI, PPP (current international $)",19.59254891,100
Bulgaria,2018,"GNI, PPP (current international $)",24.73921657,100
Bulgaria,2014,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",0,100
Bulgaria,2015,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",-9.038556634,100
Bulgaria,2016,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",-27.67478035,100
Bulgaria,2017,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",-45.71404654,100
Bulgaria,2018,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",-43.4438992,100
Bulgaria,2014,Happiness score,0,100
Bulgaria,2015,Happiness score,-0.0237062,100
Bulgaria,2016,Happiness score,11.7591346,100
Bulgaria,2017,Happiness score,16.95353958,100
Bulgaria,2018,Happiness score,18.80038486,100
Burkina Faso,2014,Import volume index (2000 = 100),0,854
Burkina Faso,2015,Import volume index (2000 = 100),1.549233421,854
Burkina Faso,2016,Import volume index (2000 = 100),15.17809127,854
Burkina Faso,2017,Import volume index (2000 = 100),27.7376712,854
Burkina Faso,2018,Import volume index (2000 = 100),33.05688316,854
Burkina Faso,2014,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",0,854
Burkina Faso,2015,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.135373919,854
Burkina Faso,2016,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.43136022,854
Burkina Faso,2017,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.65163113,854
Burkina Faso,2018,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.869608829,854
Burkina Faso,2014,Happiness score,0,854
Burkina Faso,2015,Happiness score,4.237529784,854
Burkina Faso,2016,Happiness score,12.40591539,854
Burkina Faso,2017,Happiness score,23.34541356,854
Burkina Faso,2018,Happiness score,27.87288082,854
Burundi,2014,Start-up procedures to register a business (number),0,108
Burundi,2015,Start-up procedures to register a business (number),0,108
Burundi,2016,Start-up procedures to register a business (number),0,108
Burundi,2017,Start-up procedures to register a business (number),0,108
Burundi,2018,Start-up procedures to register a business (number),33.33333333,108
Burundi,2014,Tax payments (number),0,108
Burundi,2015,Tax payments (number),0,108
Burundi,2016,Tax payments (number),0,108
Burundi,2017,Tax payments (number),0,108
Burundi,2018,Tax payments (number),-4,108
Burundi,2014,Happiness score,0,108
Burundi,2015,Happiness score,0,108
Burundi,2016,Happiness score,0,108
Burundi,2017,Happiness score,-0.017210457,108
Burundi,2018,Happiness score,29.95869408,108
Cambodia,2014,"Labor force, total",0,116
Cambodia,2015,"Labor force, total",0.804435661,116
Cambodia,2016,"Labor force, total",2.662652396,116
Cambodia,2017,"Labor force, total",4.378206955,116
Cambodia,2018,"Labor force, total",6.257945447,116
Cambodia,2014,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",0,116
Cambodia,2015,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",-1.672513985,116
Cambodia,2016,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",-3.422466011,116
Cambodia,2017,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",-5.513106031,116
Cambodia,2018,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",-7.608915152,116
Cambodia,2014,Happiness score,0,116
Cambodia,2015,Happiness score,2.304269678,116
Cambodia,2016,Happiness score,9.138523567,116
Cambodia,2017,Happiness score,16.06703364,116
Cambodia,2018,Happiness score,23.06362942,116
Cameroon,2014,GDP (constant 2010 US$),0,120
Cameroon,2015,GDP (constant 2010 US$),5.651463744,120
Cameroon,2016,GDP (constant 2010 US$),10.56265254,120
Cameroon,2017,GDP (constant 2010 US$),14.48661762,120
Cameroon,2018,GDP (constant 2010 US$),18.90568314,120
Cameroon,2014,"Mortality rate, under-5 (per 1,000 live births)",0,120
Cameroon,2015,"Mortality rate, under-5 (per 1,000 live births)",-4.454342984,120
Cameroon,2016,"Mortality rate, under-5 (per 1,000 live births)",-8.351893096,120
Cameroon,2017,"Mortality rate, under-5 (per 1,000 live births)",-12.02672606,120
Cameroon,2018,"Mortality rate, under-5 (per 1,000 live births)",-15.25612472,120
Cameroon,2014,Happiness score,0,120
Cameroon,2015,Happiness score,6.138291752,120
Cameroon,2016,Happiness score,10.41863433,120
Cameroon,2017,Happiness score,17.01081855,120
Cameroon,2018,Happiness score,18.61948236,120
Canada,2014,Other taxes payable by businesses (% of commercial profits),0,124
Canada,2015,Other taxes payable by businesses (% of commercial profits),-4.255319149,124
Canada,2016,Other taxes payable by businesses (% of commercial profits),-8.510638298,124
Canada,2017,Other taxes payable by businesses (% of commercial profits),-10.63829787,124
Canada,2018,Other taxes payable by businesses (% of commercial profits),-14.89361702,124
Canada,2014,Population ages 65 and above (% of total population),0,124
Canada,2015,Population ages 65 and above (% of total population),2.754006575,124
Canada,2016,Population ages 65 and above (% of total population),5.323075102,124
Canada,2017,Population ages 65 and above (% of total population),7.803217695,124
Canada,2018,Population ages 65 and above (% of total population),10.29637514,124
Canada,2014,Happiness score,0,124
Canada,2015,Happiness score,-0.309684128,124
Canada,2016,Happiness score,-1.494547736,124
Canada,2017,Happiness score,-1.326245471,124
Canada,2018,Happiness score,-2.004847598,124
Chad,2014,"Population ages 65 and above, total",0,148
Chad,2015,"Population ages 65 and above, total",2.809765634,148
Chad,2016,"Population ages 65 and above, total",6.490355959,148
Chad,2017,"Population ages 65 and above, total",10.39416589,148
Chad,2018,"Population ages 65 and above, total",14.41986744,148
Chad,2014,Export volume index (2000 = 100),0,148
Chad,2015,Export volume index (2000 = 100),-8.348757207,148
Chad,2016,Export volume index (2000 = 100),-14.47639429,148
Chad,2017,Export volume index (2000 = 100),-37.76032139,148
Chad,2018,Export volume index (2000 = 100),-40.84653208,148
Chad,2014,Happiness score,0,148
Chad,2015,Happiness score,2.617942587,148
Chad,2016,Happiness score,7.335698101,148
Chad,2017,Happiness score,17.27842888,148
Chad,2018,Happiness score,18.61194747,148
Chile,2014,"Mortality rate, neonatal (per 1,000 live births)",0,152
Chile,2015,"Mortality rate, neonatal (per 1,000 live births)",0,152
Chile,2016,"Mortality rate, neonatal (per 1,000 live births)",-1.886792453,152
Chile,2017,"Mortality rate, neonatal (per 1,000 live births)",-5.660377358,152
Chile,2018,"Mortality rate, neonatal (per 1,000 live births)",-7.547169811,152
Chile,2014,Secure Internet servers,0,152
Chile,2015,Secure Internet servers,37.23150358,152
Chile,2016,Secure Internet servers,668.0872826,152
Chile,2017,Secure Internet servers,4470.814865,152
Chile,2018,Secure Internet servers,5055.335834,152
Chile,2014,Happiness score,0,152
Chile,2015,Happiness score,0.524735338,152
Chile,2016,Happiness score,-0.269866952,152
Chile,2017,Happiness score,-2.905546781,152
Chile,2018,Happiness score,-3.388310441,152
China,2014,Net barter terms of trade index (2000 = 100),0,156
China,2015,Net barter terms of trade index (2000 = 100),11.55490035,156
China,2016,Net barter terms of trade index (2000 = 100),11.3077537,156
China,2017,Net barter terms of trade index (2000 = 100),5.239307255,156
China,2018,Net barter terms of trade index (2000 = 100),2.020438699,156
China,2014,Import unit value index (2000 = 100),0,156
China,2015,Import unit value index (2000 = 100),-12.49599997,156
China,2016,Import unit value index (2000 = 100),-20.21647791,156
China,2017,Import unit value index (2000 = 100),-14.94757413,156
China,2018,Import unit value index (2000 = 100),-7.428939656,156
China,2014,Happiness score,0,156
China,2015,Happiness score,2.042801981,156
China,2016,Happiness score,2.587546702,156
China,2017,Happiness score,2.058368766,156
China,2018,Happiness score,0.990272058,156
Colombia,2014,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0,170
Colombia,2015,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.347665131,170
Colombia,2016,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",-2.042388544,170
Colombia,2017,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",-4.280434845,170
Colombia,2018,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",-5.617113621,170
Colombia,2014,Secure Internet servers,0,170
Colombia,2015,Secure Internet servers,31.81641385,170
Colombia,2016,Secure Internet servers,499.5721509,170
Colombia,2017,Secure Internet servers,780.5912096,170
Colombia,2018,Secure Internet servers,1157.798522,170
Colombia,2014,Happiness score,0,170
Colombia,2015,Happiness score,0.061752508,170
Colombia,2016,Happiness score,-1.852715115,170
Colombia,2017,Happiness score,-3.348777841,170
Colombia,2018,Happiness score,-5.437702924,170
"Congo, Dem. Rep.",2014,Import unit value index (2000 = 100),0,180
"Congo, Dem. Rep.",2015,Import unit value index (2000 = 100),-9.085770146,180
"Congo, Dem. Rep.",2016,Import unit value index (2000 = 100),-11.47635768,180
"Congo, Dem. Rep.",2017,Import unit value index (2000 = 100),-9.5313213,180
"Congo, Dem. Rep.",2018,Import unit value index (2000 = 100),-3.991620259,180
"Congo, Dem. Rep.",2014,"Time to export, border compliance (hours)",0,180
"Congo, Dem. Rep.",2015,"Time to export, border compliance (hours)",48.41498559,180
"Congo, Dem. Rep.",2016,"Time to export, border compliance (hours)",48.41498559,180
"Congo, Dem. Rep.",2017,"Time to export, border compliance (hours)",48.41498559,180
"Congo, Dem. Rep.",2018,"Time to export, border compliance (hours)",-14.69740634,180
"Congo, Dem. Rep.",2014,Happiness score,0,180
"Congo, Dem. Rep.",2015,Happiness score,-5.423961736,180
"Congo, Dem. Rep.",2016,Happiness score,-5.246844768,180
"Congo, Dem. Rep.",2017,Happiness score,-6.023908785,180
"Congo, Dem. Rep.",2018,Happiness score,-2.189513257,180
"Congo, Rep.",2014,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",0,178
"Congo, Rep.",2015,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",2.162214145,178
"Congo, Rep.",2016,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",1.940332456,178
"Congo, Rep.",2017,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",5.887081931,178
"Congo, Rep.",2018,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",7.784912802,178
"Congo, Rep.",2014,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0,178
"Congo, Rep.",2015,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.096084314,178
"Congo, Rep.",2016,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.152605132,178
"Congo, Rep.",2017,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.322167588,178
"Congo, Rep.",2018,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.46063982,178
"Congo, Rep.",2014,Happiness score,0,178
"Congo, Rep.",2015,Happiness score,6.192027424,178
"Congo, Rep.",2016,Happiness score,7.570814769,178
"Congo, Rep.",2017,Happiness score,14.28177465,178
"Congo, Rep.",2018,Happiness score,20.61920214,178
Costa Rica,2014,Age dependency ratio (% of working-age population),0,188
